name,bus0,bus1,carrier,geometry,length,p_nom,tags,under_construction,underground,p_min_pu,underwater_fraction,capital_cost,efficiency,p_nom_extendable,bus2,bus3,bus4,efficiency2,efficiency3,efficiency4,lifetime,marginal_cost,build_year,p_nom_opt,charger_ratio,type,p_nom_min,p_nom_max,p_set,p_max_pu,terrain_factor
IT6 0 coal-2005,EU coal,IT6 0,coal,,0.0,1634.4397418832561,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1847838123717331,2005.0,1634.4397418832561,,,0.0,inf,0.0,1.0,1.0
NL0 0 coal-2005,EU coal,NL0 0,coal,,0.0,8918.181818181818,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1848134839377036,2005.0,8918.181818181818,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2005,EU coal,PL0 0,coal,,0.0,469.6969696969697,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1849136514902594,2005.0,469.6969696969697,,,0.0,inf,0.0,1.0,1.0
SK0 0 coal-2005,EU coal,SK0 0,coal,,0.0,1333.3333333333333,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1847711807596155,2005.0,1333.3333333333333,,,0.0,inf,0.0,1.0,1.0
BG0 0 coal-2010,EU coal,BG0 0,coal,,0.0,400.0,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1865415656552247,2010.0,400.0,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-2010,EU coal,CZ0 0,coal,,0.0,1441.6596697636926,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1837345093577667,2010.0,1441.6596697636926,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2010,EU coal,DE0 0,coal,,0.0,68.48484848484848,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1845499698732664,2010.0,68.48484848484848,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2010,EU coal,PL0 0,coal,,0.0,5424.242424242424,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.185683712176416,2010.0,5424.242424242424,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2015,EU coal,DE0 0,coal,,0.0,7523.333333333332,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1846948862896074,2015.0,7523.333333333332,,,0.0,inf,0.0,1.0,1.0
NL0 0 coal-2015,EU coal,NL0 0,coal,,0.0,4787.878787878788,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1836497730515918,2015.0,4787.878787878788,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-2019,EU coal,CZ0 0,coal,,0.0,2272.7272727272725,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1854230744906122,2019.0,2272.7272727272725,,,0.0,inf,0.0,1.0,1.0
NL0 0 coal-2019,EU coal,NL0 0,coal,,0.0,3236.363636363636,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.184702879306915,2019.0,3236.363636363636,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2019,EU coal,PL0 0,coal,,0.0,12169.69696969697,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1875990448956448,2019.0,12169.69696969697,,,0.0,inf,0.0,1.0,1.0
