name,bus0,bus1,carrier,geometry,length,p_nom,tags,under_construction,underground,p_min_pu,underwater_fraction,capital_cost,efficiency,p_nom_extendable,bus2,bus3,bus4,efficiency2,efficiency3,efficiency4,lifetime,marginal_cost,build_year,p_nom_opt,charger_ratio,type,p_nom_min,p_nom_max,p_set,p_max_pu,terrain_factor
DE0 0 coal-1995,EU coal,DE0 0,coal,,0.0,4761.818181818182,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.175291543550023,1995.0,4761.818181818182,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-1995,EU coal,DK0 0,coal,,0.0,2454.5454545454545,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1763562177279523,1995.0,2454.5454545454545,,,0.0,inf,0.0,1.0,1.0
GR0 0 coal-1995,EU coal,GR0 0,coal,,0.0,1878.7878787878788,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1743324150315106,1995.0,1878.7878787878788,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-1995,EU coal,PL0 0,coal,,0.0,2198.7878787878785,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1745403159600658,1995.0,2198.7878787878785,,,0.0,inf,0.0,1.0,1.0
PT0 0 coal-1995,EU coal,PT0 0,coal,,0.0,1745.4545454545453,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1760138689139326,1995.0,1745.4545454545453,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2000,EU coal,DE0 0,coal,,0.0,413.3333333333333,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1745104235749635,2000.0,413.3333333333333,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2000,EU coal,PL0 0,coal,,0.0,8187.878787878787,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.175376319912381,2000.0,8187.878787878787,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-2005,EU coal,CZ0 0,coal,,0.0,193.93939393939394,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1756731860661884,2005.0,193.93939393939394,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2005,EU coal,DE0 0,coal,,0.0,4212.121212121212,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1758101946567976,2005.0,4212.121212121212,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-2005,EU coal,DK0 0,coal,,0.0,145.283532611845,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1751414025362474,2005.0,145.283532611845,,,0.0,inf,0.0,1.0,1.0
GR0 0 coal-2005,EU coal,GR0 0,coal,,0.0,1000.0,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1755877937882637,2005.0,1000.0,,,0.0,inf,0.0,1.0,1.0
IE4 0 coal-2005,EU coal,IE4 0,coal,,0.0,2590.909090909091,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.176533269781302,2005.0,2590.909090909091,,,0.0,inf,0.0,1.0,1.0
IT6 0 coal-2005,EU coal,IT6 0,coal,,0.0,1634.4397418832561,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.17512530581427,2005.0,1634.4397418832561,,,0.0,inf,0.0,1.0,1.0
NL0 0 coal-2005,EU coal,NL0 0,coal,,0.0,8918.181818181818,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1759022682923315,2005.0,8918.181818181818,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2005,EU coal,PL0 0,coal,,0.0,469.6969696969697,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1751839353460105,2005.0,469.6969696969697,,,0.0,inf,0.0,1.0,1.0
