cluster,lv,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,2035,958725871662.3839,825798026060.7742,712347444666.2336,615369655004.8331,532346444366.9646,461163536651.77563,400042809067.93866,347486376112.18256,302230378377.75885,263206722962.4023
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,2040,931420258680.2335,763340322561.5187,626819133167.8884,515704814189.20905,425088047489.08936,351042499631.4295,290421239373.9562,240696694448.78134,199834546839.66666,166194145517.54333
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,2045,890570199100.0911,694438537528.9418,542830028724.0212,425341286908.66815,334067845269.1022,262987848185.6845,207501636757.90256,164086826710.00873,130039194650.4715,103277498399.09882
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,2050,831634632652.0278,617008793190.0155,459121270954.68726,342622457407.51013,256408482179.838,192421499516.87778,144796014760.86185,109249444217.41302,82645631448.99231,62681247106.41111
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,2020,712662159683.6259,712662159683.6259,712662159683.6259,712662159683.6259,712662159683.6259,712662159683.6259,712662159683.6259,712662159683.6259,712662159683.6259,712662159683.6259
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,2025,679219268972.1793,646253828788.3678,615189818538.2555,585900507938.3921,558268728601.5052,532186070009.2807,507552149907.56964,484273951616.1642,462265221564.01434,441445921083.63715
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,2030,653774776454.3168,591853776431.4143,536323026365.55835,486469832872.6238,441666813454.6328,401361000095.9521,365064420450.9393,332345944826.08514,302824219127.6596,276161530850.1165
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,2035,628569746371.0355,541418220929.6988,467036580378.8268,403455001480.3736,349022467639.3223,302352795347.1725,262280193396.03342,227822602639.78925,198151398535.98224,172566306997.38724
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,2040,616152429365.6873,504964316371.54,414652921787.99475,341148661022.78906,281203925632.7134,232221370474.57678,192119239958.56546,159225496378.0234,132194399208.06271,109940626213.22498
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,2045,601343261727.2867,468908498901.88965,366537281806.94775,287204890838.9237,225573961396.1083,177578331929.84042,140112156445.20325,110797001381.7933,87806883210.91618,69736476487.87843
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.5,2050,713337000609.1652,529241068857.4673,393812592068.56555,293885399323.7661,219935113843.97278,165050095232.77075,124199198559.46097,93709025329.72775,70889528329.61473,53765020178.08336
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,2020,723465472850.5858,723465472850.5858,723465472850.5858,723465472850.5858,723465472850.5858,723465472850.5858,723465472850.5858,723465472850.5858,723465472850.5858,723465472850.5858
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,2025,700148332867.7554,666167114958.7375,634145916529.3776,603954102303.6534,575470893536.3777,548584539211.1548,523191563953.9748,499196084923.24054,476509190780.9892,455048376595.2156
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,2030,869029947538.9003,786721474744.494,712907240004.1321,646639895826.7158,587085494193.8446,533509002517.9615,485261783688.54083,441770758675.2707,402529012650.5933,367087641356.425
